Inventory: Name,Floor,Status,No of Units,Exterior,Exterior Patio,Interior,Centre: Name,Unit Type
NCR/PT/DD/02/045,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/046,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/047,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/048,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/049,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/050,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/051,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/052,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/053,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/054,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/055,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/056,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/057,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/058,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/059,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/060,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/061,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/DD/02/062,02,,1,No,,Yes,CoWrks Golf Course Road,Dedicated Desk
NCR/PT/FD/00/001,00,,1,No,,Yes,CoWrks Golf Course Road,Flexible Desk
NCR/PT/FD/00/002,00,,1,No,,Yes,CoWrks Golf Course Road,Flexible Desk
NCR/PT/FD/00/003,00,,1,No,,Yes,CoWrks Golf Course Road,Flexible Desk
NCR/PT/FD/00/004,00,,1,No,,Yes,CoWrks Golf Course Road,Flexible Desk
NCR/PT/FD/00/005,00,,1,No,,Yes,CoWrks Golf Course Road,Flexible Desk
NCR/PT/FD/00/006,00,,1,No,,Yes,CoWrks Golf Course Road,Flexible Desk
